'main' bucket:
    regula (3.2.1)
    replibyte (0.10.0)
    resharper-clt (2025.3.1)
    restic (0.18.1)
    resticprofile (0.32.0)
    resvg (0.45.1)
    retdec (5.0)
    rethinkdb (2.4.4)
    reviewdog (0.21.0)
    rga (0.10.9)
    rhash (1.4.6)
    rink (0.8.0)
    rip (0.9.6)
    ripgrep (15.1.0)
    rizin (0.8.1)
    rke (1.8.9)
    rktools2k3 (1.0)
    rnr (0.5.1)
    roswell (24.10.115)
    rtmpdump (2.3)
    rtools (4.5.6691.6492)
    rubberband (4.0.0)
    ruby (3.4.8-1)
    ruff (0.14.10)
    runasti (1.0.0.1)
    runat (0.2018.07.25)
    rust (1.92.0)
    rust-analyzer (2025-12-22)
    rust-gnu (1.92.0)
    rust-msvc (1.92.0)
    rustic (0.10.2)
    rustup (1.28.2)
    rustup-gnu (1.28.2)
    rustup-msvc (1.28.2)
    rye (0.44.0)
    ryzenadj (0.17.0)
    s (0.7.5)
    s3deploy (2.12.1)
    s5cmd (2.3.0)
    sacad (2.8.0)
    sad (0.4.32)
    saml2aws (2.36.19)
    sampler (1.1.0)
    sapling (0.2.20250521.115337.25ed6ac4)
    sass (1.97.1)
    say (0.2023.06.28)
    sayit (1.6)
    sbcl (2.5.11)
    sbt (1.11.7)
    scala (3.7.4)
    scala-cli (1.11.0)
    scaleway-cli (2.49.0)
    scc (3.6.0)
    sccache (0.12.0)
    schemacrawler (17.1.7)
    scholdoc (0.1.3)
    scons (4.10.1)
    scoop-search (2.1.0)
    scoop-shim (1.1.0)
    scoop-validator (1.0.2)
    scrcpy (3.3.4)
    scriptcs (0.17.1)
    sd (1.0.0)
    sdcc (4.5.0)
    sed (4.9)
    selenium (4.39.0)
    selenium-manager (4.39.0)
    sendmail (32)
    sentinel (0.40.0)
    sentry-cli (3.0.1)
    seqcli (2025.2.02451)
    serve (0.3.2)
    serverless (3.39.0)
    sftpgo (2.7.0)
    shadowsocks-rust (1.24.0)
    shasum (0.2023.06.28)
    shellcheck (0.11.0)
    shfmt (3.12.0)
    shim (0.2023.06.28)
    shinyproxy (3.2.2)
    sift (0.9.0)
    signal-cli (0.13.22)
    sigrok (0.7.2)
    silicon (0.5.2)
    simple-http-server (0.6.13)
    simplex-chat (6.4.8)
    sing-box (1.12.13)
    skywalking-cli (0.13.0)
    slang (2025.24.2)
    sliksvn (1.14.5)
    smartmontools (7.5)
    smimesign (0.2.0)
    snapraid (13.0)
    sndcpy (1.1)
    solidity (0.8.33)
    sonar-scanner (8.0.1.6346)
    sonarqube (25.12.0.117093)
    sops (3.11.0)
    sourcegraph-cli (6.11.0)
    sox (14.4.2)
    spark (4.0.1)
    spdx-sbom-generator (0.0.15)
    speedtest-cli (1.2.0)
    spicetify-cli (2.42.7)
    spotbugs (4.9.7)
    spotify-player (0.21.2)
    spotify-tui (0.25.0)
    sqlcl (25.4.0.346.1855)
    sqldef (3.8.13)
    sqlite (3.51.1)
    sqlpage (0.40.0)
    sqruff (0.29.3)
    srecord (1.64)
    srlua (5.5.0)
    srvany-ng (1.1.0.0)
    srvman (1.0)
    ssh3 (0.1.7)
    sslscan (2.2.1)
    stack (3.7.1)
    starship (1.24.1)
    static-web-server (2.40.1)
    staticcheck (2025.1.1)
    stdiscosrv (2.0.12)
    stern (1.33.1)
    stgit (2.5.5)
    stlink (1.8.0)
    stoplight-prism (5.14.2)
    stylua (2.3.1)
    suanpan (3.9.4)
    subconverter (0.9.0)
    sudo (0.2020.01.26)
    supabase (2.67.1)
    superfile (1.4.0)
    superhtml (0.6.2)
    surrealdb (2.4.0)
    svtplay-dl (4.167)
    swc (1.15.7)
    swift (6.2.3)
    swig (4.4.1)
    syft (1.39.0)
    symfony-cli (5.16.1)
    syncany-cli (0.4.9)
    syncthing (2.0.12)
    tailspin (5.5.0)
    tailwindcss (4.1.18)
    talosctl (1.12.0)
    taplo (0.10.0)
    tar (1.23)
    task (3.46.3)
    tcc (0.9.27)
    tcping (0.39)
    tea (0.11.1)
    tealdeer (1.8.1)
    tectonic (0.15.0)
    tektoncd-cli (0.43.0)
    telegraf (1.37.0)
    teleport (18.6.0)
    telnet (msys-inetutils-1.7-1)
    temporal-cli (1.5.1)
    tenv (4.9.0)
    tere (1.6.0)
    termscp (0.19.1)
    termshark (2.4.0)
    termusic (0.12.1)
    terraform (1.14.3)
    terraform-docs (0.21.0)
    terraform-ls (0.38.3)
    terraform-provider-ibm (1.86.1)
    terraform-switcher (1.13.0)
    terraformer (0.8.24)
    terragrunt (0.96.1)
    terrascan (1.19.9)
    tesseract (5.5.0.20241111)
    tesseract-languages (4.1.0)
    texlab (5.24.0)
    tf (2.11.2)
    tf-summarize (0.3.14)
    tflint (0.60.0)
    tfsec (1.28.14)
    thrift (0.22.0)
    ticker (5.1.0)
    tickrs (0.15.0)
    tidy (5.8.0)
    time (0.2018.07.25)
    timoni (0.25.2)
    tinygo (0.40.1)
    tinymist (0.14.4)
    tldr (0.6.1)
    tlrc (1.12.0)
    tokei (12.1.2)
    topgrade (16.7.0)
    tor (0.4.8.21-15.0.3)
    torpar (1.1.0)
    touch (0.2018.07.25)
    tproxy (0.9.1)
    traefik (3.6.5)
    transmission-cli (4.0.6)
    trashy (2.0.0)
    tre-command (0.4.0)
    tree-sitter (0.26.3)
    trid (2.46-25.12.21)
    trippy (0.13.0)
    trivy (0.68.2)
    trojan (1.16.0)
    trufflehog (3.92.4)
    trunk (0.21.14)
    trzsz (1.1.8)
    tssh (0.1.23)
    tta (2.3)
    ttyd (1.7.7)
    ttyper (1.6.0)
    tunnel (0.5.15)
    tup (0.8-12)
    twilio-cli (6.2.2)
    twitchdownloader-cli (1.56.2)
    typioca (3.1.0)
    typos (1.40.0)
    typst (0.14.2)
    typstyle (0.14.0)
    uber-apk-signer (1.3.0)
    ugrep (7.5.0)
    unar (1.8.1)
    unbound (1.24.2)
    uncap (0.3.0)
    uncrustify (0.82.0)
    unison (2.53.8)
    units (2.24)
    unrar (7.13)
    unshield (1.6.2)
    unxutils (2007.03.01)
    unzip (6.00)
    up (1.7.1)
    upbound-cli (0.34.2)
    updatecli (0.112.0)
    upm (1.0)
    upx (5.0.2)
    usql (0.20.0)
    uutils-coreutils (0.5.0)
    uutils-coreutils-lean (0.5.0)
    uv (0.9.18)
    v (0.4.12)
    v2ray (5.41.0)
    vagrant (2.4.9)
    vale (3.13.0)
    vals (0.42.6)
    vapoursynth (73)
    vault (1.21.1)
    vbindiff (3.0-beta5)
    vcluster (0.30.4)
    vcpkg (2025.12.12)
    vdesk (1.2.0)
    vector (0.52.0)
    vegeta (12.13.0)
    velero (1.17.1)
    vfox (0.9.2)
    vgmstream (r2055)
    vhs (0.10.0)
    vim (9.1.1825)
    vimtutor (0.2018.07.25)
    vivetool (0.3.4)
    vivid (0.10.1)
    vmaf (3.0.0)
    volta (2.0.2)
    vswhere (3.1.7)
    vt-cli (1.2.0)
    vulkan (1.4.335.0)
    vultr (3.8.0)
    waifu2x-converter-cpp (5.3.4)
    waifu2x-ncnn-vulkan (20250915)
    wakatime-cli (1.132.1)
    walk (1.13.0)
    wapm-cli (0.5.9)
    warp (0.3.0)
    wasm4 (2.7.1)
    wasmedge (0.15.0)
    wasmer (6.1.0)
    wasmtime (40.0.0)
    watchexec (2.3.2)
    watchman (2025.02.24.00)
    wavpack (5.8.1)
    waypoint (0.11.4)
    wcurl (2024.07.10)
    weasyprint (67.0)
    webhook (2.8.2)
    wgcf (2.2.29)
    wget (1.21.4)
    wget2 (2.1.0)
    which (2.20)
    whisper-cpp (1.8.2)
    win-acme (2.2.9.1701)
    win32yank (0.1.1)
    windows-application-driver (1.2.1)
    winfetch (2.5.1)
    winflexbison (2.5.25)
    winget (1.12.350)
    winget-ps (1.11.460)
    wingetcreate (1.10.3.0)
    winnfsd (2.4.0)
    winpython (3.13.7.0)
    winsw (2.12.0)
    wireproxy (1.0.9)
    wixtoolset (6.0.2)
    wkhtmltopdf (0.12.6-1)
    wormhole-william (1.0.8)
    wp-cli (2.12.0)
    wstunnel (10.5.1)
    wttop (1.1)
    wuzz (0.5.0)
    x264 (3222)
    x265 (4.1+211-9e551a9)
    xcaddy (0.4.5)
    xdelta (3.1.0)
    xh (0.25.3)
    xidel (0.9.8)
    xmake (3.0.5)
    xming (6.9.0.31)
    xmlstarlet (1.6.1)
    xpdf-tools (4.06)
    xpdf-tools-lsp (2025-Aug-13)
    xray (25.12.8)
    xsv (0.13.0)
    xtensa-esp32-elf (11_2_0-esp-2022r1)
    xxcopy (3.33.3)
    xz (5.8.2)
    y-cruncher (0.8.7.9547b)
    yamlfmt (0.20.0)
    yara (4.5.4)
    yara-x (1.10.0)
    yarn (1.22.22)
    yasm (1.3.0)
    yazi (25.5.31)
    yedit (2.0)
    yori (2.50)
    yosys (0.9)
    youtube-dl (2021.12.17)
    yq (4.50.1)
    yregedit (2.0)
    yt-dlp (2025.12.08)
    ytcast (1.4.0)
    ytt (0.52.2)
    yubico-piv-tool (2.7.2)
    yubikey-personalization (1.19.0)
    z.lua (1.8.24)
    z3 (4.15.4)
    zeebe (8.5.0)
    zenhan (0.0.1)
    zig (0.15.2)
    zigup (2025_05_24)
    zip (3.0)
    zls (0.15.1)
    zola (0.21.0)
    zookeeper (3.9.4)
    zoxide (0.9.8)
    zstd (1.5.7)
    zvm (0.8.11)

