'main' bucket:
    ddosify (1.0.6)
    deepstream (10.0.0)
    delta (0.18.2)
    deno (2.6.3)
    deno-lint (0.82.0)
    dep (0.5.4)
    dependency-check (12.1.9)
    deta (1.3.3-beta)
    detekt (1.23.8)
    devd (0.9)
    devspace (6.3.18)
    dfu-util (0.11)
    dhall (1.42.2)
    diff-so-fancy (1.4.4)
    diffsitter (0.9.0)
    difftastic (0.67.0)
    diffutils (3.6)
    digdag (0.10.5.1)
    dioxus (0.6.3)
    direnv (2.37.1)
    dirhash (1.26.1)
    diun (4.30.0)
    dive (0.13.1)
    djvulibre (3.5.29-4.12)
    dmd (2.111.0)
    dmg2img (1.6.7)
    dnscrypt-proxy (2.1.15)
    dnslookup (1.11.2)
    dnsproxy (0.78.2)
    docfx (2.78.4)
    docker (29.1.3)
    docker-buildx (0.30.1)
    docker-compose (5.0.1)
    docker-machine (0.16.2)
    docker-pushrm (1.9.0)
    doctl (1.148.0)
    docto (1.16)
    dog (0.1.0)
    doggo (1.1.3)
    dokka (2.1.0)
    dolt (1.79.1)
    dos2unix (7.5.3)
    dosbox (0.74-3)
    dotcover-clt (2024.3.7)
    dotmemory-clt (2025.3.1)
    dotmemoryunit (3.2.20220510)
    dotnet-core-uninstall (1.7.656206)
    dotnet-script (2.0.0)
    dotnet-sdk (10.0.101)
    dotter (0.13.4)
    dottrace-api (2019.1.3)
    dottrace-clt (2025.3.1)
    doxygen (1.15.0)
    dprint (0.50.2)
    draft (0.17.13)
    drmemory (2.6.20434)
    drone (1.9.0)
    dua (2.32.2)
    duckdb (1.4.3)
    duf (0.9.1)
    dufs (0.45.0)
    dum (0.1.20)
    duplicacy (3.2.5)
    dust (1.2.3)
    dvc (3.60.1)
    dxc (1.8.2505.1)
    dyff (1.10.2)
    dynamorio (11.90.20437)
    eac3to (3.52)
    earthly (0.8.16)
    ect (0.9.5)
    edgedb (7.9.0+ec0fa4d)
    edgedriver (143.0.3650.96)
    edit (1.2.1)
    editorconfig (0.12.1)
    eksctl (0.221.0)
    elixir (1.19.4)
    elm (0.19.1)
    elvish (0.21.0)
    emitter (2.7)
    emplace (1.4.0)
    empty-recycle-bin (1.0.0)
    emscripten (4.0.22)
    enonic (3.4.0)
    envsubst (1.4.3)
    erdtree (3.1.2)
    erlang (28.3)
    espanso (2.3.0)
    espeak-ng (1.51)
    etcd (3.6.7)
    ethr (1.0.0)
    etl2pcapng (1.11.0)
    eva (0.3.1)
    evans (0.10.11)
    eventstore (24.6.0)
    everything-cli (1.1.0.30)
    exercism (3.5.8)
    exiftool (13.44)
    eza (0.23.4)
    f2 (2.2.2)
    faas-cli (0.18.0)
    fake (6.1.4)
    far (3.0.6600)
    fastfetch (2.56.1)
    fat32format (a027932)
    fciv (6.0.2800.1106)
    fd (10.3.0)
    fedify (1.9.2)
    fend (1.5.7)
    ffmpeg (8.0.1)
    ffmpeg-shared (8.0.1)
    ffsend (0.2.76)
    ffuf (2.1.0)
    figlet (1.0-go)
    figurine (1.3.0)
    file (5.45)
    findutils (4.4.2)
    fio (3.41)
    firebase (15.1.0)
    fission-cli (1.22.0)
    flac (1.5.0)
    flamingo (0.10.2)
    flaresolverr (3.4.6)
    flatc (25.12.19)
    flow (0.295.0)
    flux (2.7.5)
    flyctl (0.3.235)
    flyway (11.20.0)
    fnm (1.38.1)
    fnproject (0.6.47)
    fontreg (2.1.3)
    force (1.6.0)
    forcebindip (1.32)
    fossa (3.15.1)
    fossil (2.27)
    fq (0.16.0)
    freebasic (1.10.1)
    freepascal (3.2.2)
    frp (0.65.0)
    fselect (0.9.2)
    fx (39.2.0)
    fzf (0.67.0)
    gactions (3.2.1)
    gallery-dl (1.31.1)
    gameboosthd (1.4)
    garnet (1.0.91)
    gauche (0.9.15)
    gauge (1.6.22)
    gawk (5.3.2)
    gbt (2.0.0)
    gcc (13.2.0)
    gdb (14.1)
    gdisk (1.0.10)
    gdrive (3.9.1)
    gdu (5.32.0)
    geckodriver (0.36.0)
    genact (1.4.2)
    geoipupdate (7.1.1)
    get-iplayer (3.36.0)
    geth (1.16.7)
    gettext (0.26-v1.17)
    gh (2.83.2)
    ghcup (0.1.50.2)
    ghdl (5.1.1)
    ghorg (1.11.7)
    ghostscript (10.06.0)
    ghq (1.8.0)
    ghz (0.121.0)
    gibo (3.0.16)
    gifsicle (1.95)
    gifski (1.34.0)
    gig (0.8.3)
    git (2.52.0)
    git-absorb (0.8.0)
    git-annex (10.20251118)
    git-branchless (0.10.0)
    git-bug (0.10.1)
    git-chglog (0.15.4)
    git-cliff (2.11.0)
    git-crypt (0.7.0)
    git-filter-repo (2.47.0)
    git-interactive-rebase-tool (2.4.1)
    git-istage (0.3.122)
    git-lfs (3.7.1)
    git-machete (3.38.0)
    git-quick-stats (2.8.0)
    git-sizer (1.5.0)
    git-tfs (0.34.0)
    git-town (22.3.0)
    git-up (2.3.0)
    git-with-openssh (2.52.0)
    git-xargs (0.1.16)
    gitea (1.25.3)
    gitignore (0.2018.07.25)
    gitkube (0.3.0)
    gitlab-release-cli (0.24.0)
    gitlab-runner (18.7.0)
    gitleaks (8.30.0)
    gitomatic (0.2)
    gitoxide (0.48.0)
    gitql (0.42.0)
    gitsign (0.13.0)
    gitui (0.28.0)
    gitversion (6.5.0)
    gk (3.1.48)
    glab (1.80.4)
    gleam (1.13.0)
    glfw (3.4)
    glitter (1.6.6)
    global (6.6.12)
    globalping (1.5.1)
    glow (2.1.1)
    glslang (8.13.3559)
    glslviewer (3.2.4)
    gnirehtet (2.5.1)
    gnupg (2.4.8)
    gnupg1 (1.4.23)
    gnuplot (6.0.3)
    gnutls (3.8.4)
    go (1.25.5)
    go-containerregistry (0.20.7)
    go-feature-flag (1.49.0)
    go-jsonnet (0.21.0)
    go-size-analyzer (1.10.2)
    go-sqlcmd (1.9.0)
    go-swagger (0.33.1)
    gobang (0.1.0-alpha.5)
    gobuster (3.8.2)
    gof (0.0.13)
    gogs (0.13.3)
    golangci-lint (2.7.2)
    gomplate (4.3.3)
    goodbyedpi (0.2.2)
    gopass (1.16.1)
    gopass-jsonapi (1.16.1)
    goreleaser (2.13.1)
    gosec (2.22.11)
    gossm (1.5.0)
    gotify-cli (2.3.2)
    gotify-server (2.7.3)
    gotop (4.2.0)
    gource (0.53)
    govc (0.52.0)
    gow (0.8.0)
    gpac (2.4-rev0)
    gpg (2.4.8)
    gping (1.20.1)
    gpth (3.4.3)
    gradle (9.2.1)
    gradle-bin (9.2.1)
    grails (6.2.3)
    granted (0.38.0)
    graphicsmagick (1.3.46)
    graphviz (14.1.1)
    grep (3.11)
    grex (1.4.6)
    gron (0.7.1)
    groovy (5.0.3)
    groovyserv (1.2.0)
    grpc-tools (0.2.6)
    grpcurl (1.9.3)
    grype (0.104.3)
    gsl-shell (2.3.6)
    gsudo (2.6.1)
    gtypist (2.9.5)
    guetzli (1.0.1)
    gum (0.13.0)
    gunk (0.1.0)
    gut (0.3.2)
    gzip (1.3.12)
    hackernews-tui (0.13.5)
    hadolint (2.14.0)
    halo (2.21.10)
    handbrake-cli (1.10.2)
    harfbuzz (12.2.0)
    harper (1.3.0)
    hashcat (7.1.2)
    hashlink (1.15.0)
    haskell (9.12.1)
    haskell-cabal (3.16.1.0)
    haskell-language-server (2.12.0.0)
    hasura-cli (2.48.6)
    hatch (1.16.2)
    haxe (4.3.7)
    hcloud (1.58.0)
    helix (25.07.1)
    helm (4.0.4)
    helm-chart-releaser (1.8.1)
    helm-chart-testing (3.14.0)
    helm-docs (1.14.2)
    helmfile (1.2.3)
    heroku-cli (10.16.0)
    hexed (1.1)
    hexyl (0.16.0)
    highlight (4.18)
    highs (1.12.0+0)
    himalaya (1.1.0)
    hjson (4.5.0)
    hledger (1.51.1)
    hollows-hunter (0.4.1.1)
    hopp-cli (0.0.8)
    hostctl (1.1.4)
    htmlq (0.4.0)
    httping (1.4.1)
    httpstat (1.0.0)
    hub (2.14.2)
    hugo (0.153.2)
    hugo-extended (0.153.2)
    hurl (7.1.0)
    hygen (6.2.11)
    hyperfine (1.20.0)
    i2p (0.9.50)
    i2p-zero (1.20)
    ibmcloud-cli (2.40.0)
    iconv (1.14-3)
    idris (1.3.3)
    ie11webdriver (4.14.0)
    igrep (1.3.0)
    ijhttp (253.28294.334)
    imagemagick (7.1.2-11)
    imagemagick-lean (7.1.2-11)
    importexcel (7.8.10)
    inadyn-mt (02.28.10)
    influxdb (3.8.0)
    innoextract (1.9)
